symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
BLZUSDT,2022-02-15T00:00:00.000000,2022-02-18T00:00:00.000000,0.22858,0.18884,313030.32895441295,71552.47259239972,-12479.024808622022,-17.440382360661484,72.0,21.465741777719913,17.7337941959254,39.19953597364531
LUNAUSDT,2022-01-14T00:00:00.000000,2022-02-19T00:00:00.000000,81.441,50.439,1044.6505761009123,100000.0,-47354.67693116847,-47.35467693116847,864.0,29.999999999999996,15.807339122386175,45.80733912238617
ATOMUSDT,2022-01-16T00:00:00.000000,2022-02-19T00:00:00.000000,43.636,26.657,1871.69354734772,98728.54532803714,-48879.39712045488,-49.508880089387894,816.0,29.61856359841114,14.96812046749445,44.58668406590559
ALICEUSDT,2022-02-05T00:00:00.000000,2022-02-19T00:00:00.000000,8.231,7.685,5483.803001207508,66223.13456988895,-24112.61835379951,-36.4111703718164,336.0,19.866940370966685,12.642907819283908,32.509848190250594
ICPUSDT,2022-02-02T00:00:00.000000,2022-02-20T00:00:00.000000,21.58,18.7,2412.9235024724903,57363.43550761439,-12272.511542879976,-21.394310564350576,432.0,17.209030652284316,13.53650084887067,30.745531501154986
MANAUSDT,2022-01-27T00:00:00.000000,2022-02-20T00:00:00.000000,2.2503,2.6914,17066.282223158843,59317.66680695614,-13417.049789181141,-22.618977635863004,576.0,17.79530004208684,13.779657592622913,31.574957634709754
BNBUSDT,2022-01-24T00:00:00.000000,2022-02-20T00:00:00.000000,370.93,380.31,120.67939517735202,70906.26178021423,-25045.721553083524,-35.32229865779261,648.0,21.271878534064268,13.768674233969621,35.04055276803389
ALICEUSDT,2022-02-05T00:00:00.000000,2022-02-21T00:00:00.000000,8.231,6.433,6451.026028867229,66223.13456988895,-24756.000901690146,-37.382707814236376,384.0,19.866940370966685,12.449835133110863,32.31677550407755
XRPBUSD,2022-02-18T00:00:00.000000,2022-02-21T00:00:00.000000,0.7845,0.7017,76252.75585517797,59820.28696838711,-6347.726238534319,-10.611326959847027,72.0,17.946086090516133,16.051967635073513,33.99805372558964
SOLUSDT,2022-02-01T00:00:00.000000,2022-02-21T00:00:00.000000,109.95,82.89,503.3280679186787,63771.14626894659,-22081.93032211293,-34.62683613837712,480.0,19.131343880683975,12.516259064933783,31.647602945617756
XRPUSDT,2022-01-22T00:00:00.000000,2022-02-21T00:00:00.000000,0.5962,0.7014,76340.33559008055,57872.58992923864,-4360.903856749778,-7.535352853711743,720.0,17.36177697877159,16.063533414864747,33.42531039363634
AVAXUSDT,2022-01-28T00:00:00.000000,2022-02-21T00:00:00.000000,66.93,69.98,880.5807746610417,58937.271248063524,3554.231417317746,6.030532703759213,576.0,17.681181374419054,18.758382668827352,36.439564043246406
KNCUSDT,2022-01-27T00:00:00.000000,2022-02-22T00:00:00.000000,1.801,1.787,23087.512754223197,59317.66680695615,-18090.45403078892,-30.49758192557139,624.0,17.795300042086843,12.377215587539055,30.1725156296259
ETHBUSD,2022-02-02T00:00:00.000000,2022-02-22T00:00:00.000000,2679.98,2637.02,19.67109057880504,57363.43550761439,-5523.14717792965,-9.6283409964114,480.0,17.209030652284316,15.561917783436137,32.770948435720456
BANDUSDT,2022-02-16T00:00:00.000000,2022-02-22T00:00:00.000000,4.8692,3.8663,10121.362353538952,49282.93757185187,-10177.238852616021,-20.650633574303793,144.0,14.78488127155556,11.739666980246295,26.524548251801853
NEOUSDT,2022-02-18T00:00:00.000000,2022-02-23T00:00:00.000000,26.17,19.478,2285.834427527211,59820.28696838712,-15328.10711999642,-25.62359342758883,120.0,17.946086090516133,13.357044893812507,31.30313098432864
FILUSDT,2022-02-01T00:00:00.000000,2022-02-23T00:00:00.000000,20.871,18.431,2318.467422304528,63771.14626894659,-21071.424054250663,-33.04225388294676,528.0,19.131343880683975,12.819501918148427,31.950845798832404
EOSUSDT,2022-01-21T00:00:00.000000,2022-02-23T00:00:00.000000,2.368,2.102,20336.59343320675,68362.52290499734,-25648.336521087233,-37.51812459690882,792.0,20.5087568714992,12.824255818980175,33.33301269047938
DOGEUSDT,2022-01-14T00:00:00.000000,2022-02-24T00:00:00.000000,0.18318,0.12394,394385.87001870177,100000.0,-51164.479325301145,-51.16447932530115,984.0,29.999999999999996,14.664055419035366,44.664055419035364
ATOMUSDT,2022-01-16T00:00:00.000000,2022-02-24T00:00:00.000000,43.636,24.835,1750.5719686945642,98728.54532803714,-55295.75168555881,-56.00786631853251,936.0,29.61856359841114,13.04263645275885,42.66120005116999
BNBUSDT,2022-01-24T00:00:00.000000,2022-02-24T00:00:00.000000,370.93,360.8,141.81732954734514,70906.26178021423,-19775.19146581638,-27.88920325134736,744.0,21.271878534064268,15.350307750204637,36.622186284268906
BTCUSDT,2022-01-21T00:00:00.000000,2022-02-25T00:00:00.000000,36425.98,39204.6,1.1527546680709155,68362.52290499734,-23203.303987713785,-33.94155598961607,840.0,20.5087568714992,13.557985697955903,34.0667425694551
BTCBUSD,2022-01-21T00:00:00.000000,2022-02-25T00:00:00.000000,36441.6,39225.0,1.152371670054332,68362.52290499734,-23194.81343761503,-33.92913609968522,840.0,20.5087568714992,13.560533627364352,34.06929049886355
TRXUSDT,2022-02-23T00:00:00.000000,2022-02-25T00:00:00.000000,0.06072,0.05936,713241.2740371142,43308.01015953358,-995.7019363463895,-2.2991172595520446,48.0,12.992403047860073,12.70140060805293,25.693803655913
